PulseType,PulseIndex,SOC,C_rate,R0,R1,C1,R2,C2
discharge,1,100.0,0.9996800000000002,0.0062754816532096195,0.008920667639430571,15.821614631235345,0.005441412633093296,1270.781103419694
discharge,5,99.9993658298105,10.000039999999998,0.007963968144127425,0.008370703557693905,5.684790991517608,0.0023721931558138747,2815.6173511653296
discharge,7,99.99683806581051,14.999560000000002,0.008106904469197759,0.008367639794602338,5.571189992489342,0.0021895221032531575,2861.410954790047
discharge,12,94.98874676081537,4.999519999999999,0.007344705091688811,0.008515350791868576,6.2684172364806425,0.0029702500155410747,2502.773457705856
charge,10,94.98821022688969,0.9986799999999999,0.006081702876805547,0.008676609426223546,14.44105825038944,0.0037822351973694035,1323.4270124868642
charge,12,94.98528212134539,1.9994000000000007,0.005838715482593808,0.008587573867876288,13.802311979579251,0.0036241444683747263,1272.8247888457338
discharge,10,94.98468831720575,0.9996800000000002,0.005595970900951232,0.008744537388728732,15.35358193423708,0.0036848824682586033,2188.4941915881905
discharge,14,94.98163618072867,10.000039999999998,0.0077879688481246115,0.00849475224119436,5.72263102362121,0.0024362234461660697,2876.8294919642017
discharge,16,94.9808363482803,14.999460000000004,0.00787756440855598,0.00926056963969767,7.250402019045891,0.002187584308150692,3103.8005271886677
charge,14,94.9787217223309,3.998839999999999,0.0057916795870802595,0.008306110543902434,6.728991817872156,0.0033449826289973666,1095.794426386556
discharge,25,89.99297338009997,14.999560000000002,0.007813562531167573,0.008552254699765319,5.650160507153683,0.0022489645261138834,2853.9679092090555
charge,22,89.99065927589683,3.998839999999999,0.00582168828960401,0.00818899785893053,6.307079292135966,0.002913816351255847,1289.1307775054856
discharge,21,89.97737058829144,4.999519999999999,0.0073847089320574644,0.008594450409703323,5.9311789441522125,0.003169479107620512,2437.258745149426
charge,18,89.9761163365282,0.9986799999999999,0.006161725283079295,0.00911914568873446,14.217496100083839,0.0037018247039348395,1319.79849427708
discharge,19,89.97393619954585,0.9993300000000002,0.006115596770325492,0.009452143684294416,15.687502133619457,0.003992838853051652,2032.7784796681058
charge,20,89.97320954150332,1.9994000000000007,0.0049989002419468425,0.00901729110583656,14.866168157955165,0.0033597071253353883,1485.1501972482324
discharge,23,89.96945655296369,9.999939999999997,0.007903968384126464,0.008589389510059301,6.443549748340096,0.0024621786112663945,2922.5785629787865
discharge,34,80.07205987856912,14.999560000000002,0.007933566051270834,0.008701097270119034,5.965803764539861,0.0022396869161958586,2853.270156181022
charge,30,80.06853718148918,3.998839999999999,0.0064818797451260835,0.008130233604867549,5.775623398462905,0.00267306142185945,1466.1422803208181
charge,28,80.04257154608148,1.9994000000000007,0.005378816660334711,0.008522192696219361,13.772604302273264,0.0031856597647021774,1507.9240396109794
discharge,32,80.04250031401963,9.999739999999997,0.008023967904128388,0.008697839958411897,5.477753459838215,0.0024345301442866628,2855.117285546547
discharge,30,80.03334558358418,4.998999999999999,0.007440714308573621,0.008717122806718219,5.946463378768705,0.003251935635216035,2410.58751805078
charge,26,80.0330800188631,0.9986799999999999,0.005321490017204854,0.008721356046598759,14.508635777922422,0.0036679412072190025,1333.2073348083375
discharge,28,80.03041456166285,0.9989799999999999,0.005675913342393385,0.00902720785091187,15.50352747629647,0.004397249013778669,1764.6222796480542
charge,38,70.08136225750675,3.998839999999999,0.005891708595492688,0.008165185121804737,6.252932948181078,0.00266447467911112,1553.2071743018273
discharge,43,70.0811014685259,14.999560000000002,0.007920232326814923,0.009649882097326883,7.241664637668615,0.0022580406338786625,2890.7347844491014
charge,34,70.06642084036031,0.9986799999999999,0.006201736486216258,0.009185719223538828,14.23561699779612,0.003754119829413882,1300.5382428930955
discharge,39,70.06593116140745,4.999259999999999,0.007392709700131216,0.008854847229382857,5.969497171741044,0.0029277579799758605,2419.2997213199037
charge,36,70.06562116510057,1.9994000000000007,0.005681704511353402,0.00861297365263143,13.822021073974465,0.003324123721766286,1435.7285983162749
discharge,41,70.06529020744196,10.000039999999998,0.00815996736013055,0.008879802116168142,6.108381123953992,0.002418473481587619,2745.6428495815703
discharge,37,70.06274512353546,0.9992800000000001,0.00591574066672002,0.00911119676487694,15.038877040462546,0.004117621466419704,1892.79987833751
discharge,52,60.10238946307819,14.999460000000004,0.007922899071706114,0.009845021906904243,8.080159822975405,0.0025208492193222465,2535.3683977320516
charge,46,60.09842855571952,3.998839999999999,0.005911714397175218,0.00818114160668999,5.383326067453628,0.0024307904743964535,1619.6754986326116
discharge,48,60.08342623448001,4.999051999999999,0.00752872275738468,0.009049273092575685,6.397854827725147,0.003249586808561956,2134.450799664511
charge,42,60.08229266444224,0.9986799999999999,0.006001680470531799,0.009509846761852408,15.471248548960595,0.003550104665157376,1489.8185030431373
discharge,50,60.08161163349074,10.000039999999998,0.008051967792128824,0.00910878500651665,6.407066519740103,0.0027090968582644016,2393.1395808440984
charge,44,60.08154667101426,1.9994000000000007,0.006221866559967972,0.008686668152493617,14.712791953177113,0.0029657066614384594,1722.80224178868
discharge,46,60.07879141452916,0.9992800000000001,0.00571588456311455,0.009161263032243678,14.299711953146376,0.004076896109648977,1820.3509019069554
charge,50,50.09298208548868,0.9986799999999999,0.005121434001520395,0.0088517676136557,13.710482994535337,0.003609760244527762,1361.2045990161116
