PulseType,PulseIndex,SOC,C_rate,R0,R1,C1,R2,C2
charge,108,2.6717610805632006,1.9994000000000007,0.0062186319009817,0.0087429018170042,13.97859105332579,0.0037238645949851,1357.5548084059876
discharge,118,2.672654572654892,0.9996800000000002,0.0063554240946517,0.0110088884610187,18.51175889507876,0.0112390819307263,665.7336773682209
charge,106,2.673056790862674,0.99868,0.0062883005567348,0.0092436296623031,14.63221218610681,0.0053415897381157,914.7563203326029
discharge,120,2.6732079517249048,4.999519999999999,0.0075687265977533,0.0114701514277667,14.765680615044555,0.0092984144587304,506.0206582629127
charge,110,2.6967383683848,3.998839999999999,0.0055802232089283,0.0092158254527199,8.265253399290854,0.0029930699343573,1717.652858066982
charge,112,2.733853131264937,7.9986799999999985,0.0081653266130645,0.0080322747230786,5.586379302939999,0.0021136365023551,2036.012902023948
discharge,109,5.14727643572202,0.9996800000000002,0.0059495288292604,0.0101099871407648,16.885800543733804,0.0067564823209488,994.810299316875
charge,102,5.148533165399599,3.998839999999999,0.00603174920727,0.0089556526722999,7.578125877911125,0.002341186553678,2101.8817651230547
charge,100,5.149011821612888,1.9994000000000007,0.0063619085725717,0.0086098393887229,13.050191031844776,0.0031320563307931,1652.898834759537
charge,98,5.150765493799554,0.99868,0.0064017925019005,0.0093896621459644,13.813647379688538,0.0043486196506859,1202.900309232676
discharge,111,5.151140090763917,4.999519999999999,0.0076007296700483,0.0116761525441581,14.178426313646806,0.0078974932142963,622.020720700648
charge,104,5.161909549706095,7.9986799999999985,0.0079863177424274,0.007978152307556,5.137860139038996,0.0021152913449725,1994.84435512939
discharge,100,10.102591680534502,0.99938,0.0063554240946517,0.0100563542604258,16.690389452999764,0.0060552032628447,1165.252492771223
charge,90,10.105496716454937,0.99868,0.0068890936035566,0.0090766942614836,14.538811943562845,0.0039179905331216,1328.350789099262
discharge,102,10.106342201240722,4.999051999999999,0.0076887381188593,0.0108330568187821,12.014772399877897,0.0065219624383902,774.0762672318937
discharge,104,10.118259059969745,9.999739999999996,0.0082079671681313,0.0110939885050908,14.03002317306982,0.0075048182503104,574.9942122474366
charge,92,10.118272001192407,1.9994000000000007,0.0061218365509652,0.0086374304351112,13.34298888899206,0.0030141162478521,1705.9415297262565
charge,94,10.132324388191606,3.998839999999999,0.0059902396095843,0.0081698485527005,5.236454556000579,0.002496675893514,1727.8081042956835
charge,96,10.144922967624352,7.9986799999999985,0.007936309491066,0.0090213214025814,9.71303493141868,0.0022152661852735,2582.582783858027
discharge,91,15.065097085356996,0.9996800000000002,0.0063953953153729,0.0098308508367972,15.3699770791836,0.0055921426849388,1236.9040514399765
charge,82,15.068422072921209,0.99868,0.0055215460328891,0.0094190295160115,12.741071568161878,0.0039160687126144,1295.688477165352
discharge,93,15.068579165231696,4.999415999999998,0.0075687265977534,0.0104389529152608,9.86011608997955,0.005083652115481,1000.1902045889348
charge,86,15.07776151483172,3.998839999999999,0.0059902396095843,0.0089534140211455,7.735565396515715,0.0025007176081638,1935.844657530672
charge,84,15.081891315091768,1.9994000000000007,0.0060786626942073,0.0090990697850524,13.385978093433591,0.0030894092441867,1740.219050026541
discharge,95,15.082659789912768,9.999739999999996,0.0081999672001312,0.0108077890690871,10.620372773447103,0.0055898822612238,737.3450315819254
charge,88,15.097930630237116,7.9986799999999985,0.0079063045402491,0.0087148372366377,7.688455377971775,0.0020901504352019,2350.0009804979827
charge,80,20.06723642608914,7.9986799999999985,0.0078853154126165,0.0079206585161504,5.479118982463652,0.0020297709594756,2099.989740286559
charge,78,20.073624665014734,3.998839999999999,0.0062102484099364,0.0081684429318261,5.412098322647812,0.0024184303334102,1765.8050927525096
discharge,88,20.07661817510825,14.999560000000002,0.0081735730914773,0.0112112109539066,12.453293249845032,0.0049231355381862,822.2548791493147
discharge,86,20.077876956876565,9.99999,0.0081239675041299,0.0105977763646896,10.220321216312689,0.0046428851638457,961.9138548014256
charge,76,20.08127564613548,1.9994000000000007,0.0057787286796904,0.008633097304612,13.692670823582272,0.0030774528305651,1702.4964835458518
charge,74,20.082886384610205,0.99868,0.0064418037050373,0.0093467784977905,13.43255996734981,0.0039228797887175,1322.0583756770134
discharge,84,20.083074285522244,4.999207999999999,0.0074327135404999,0.0108464647044474,9.624739700905154,0.0048136739383166,1172.8162556186892
discharge,79,30.07930930829798,14.999560000000002,0.0081415721527831,0.0102052080622626,9.34533199339697,0.0035530883959368,1311.5382830275587
charge,70,30.088087024115158,3.998839999999999,0.0068119754728871,0.008900132689875,7.721405266408043,0.0024298269493689,1952.126310512399
discharge,77,30.093079672239757,10.000039999999998,0.0081439674241303,0.0100518470039,8.582441695100707,0.0036753398392165,1454.6131138422222
charge,68,30.093478349484528,1.9994000000000007,0.0054787946651736,0.0085935065866518,13.604743191323186,0.0030447757216331,1704.619651628804
charge,66,30.09478602048009,0.99868,0.0063217700956266,0.0093300298706438,13.558451960823556,0.0037513735184328,1374.4450062720705
charge,62,40.08867953503522,3.998839999999999,0.0059517260005401,0.0089343966108516,7.7607546176747855,0.0024228854658714,1931.8978558419076
discharge,64,40.08995245378838,0.99903,0.0067551363018625,0.0094119779107215,15.427193480174076,0.0045365010450214,1598.4844760440508
discharge,70,40.089967148069405,14.999510000000004,0.0080082349082239,0.0097788460006502,8.488216706355994,0.003054373591196,1850.288114758548
charge,58,40.09070670789483,0.99868,0.0065218261113112,0.0089340155012513,14.74408166465386,0.003642081171065,1446.3860751829473
discharge,66,40.09086170569066,4.998843999999998,0.0075767273658271,0.0095033660085113,7.677040098860177,0.003717050257055,1767.25537116515
